,kaywords,weight
0,"dict_keys(['دفع', 'صلن', 'دفع خدم', 'صلن جمل', 'لوح علم', 'خدم', 'فذذ', 'لوح', 'عمر', 'طعم'])","dict_values([0.29, 0.248, 0.233, 0.165, 0.155, 0.153, 0.148, 0.138, 0.12, 0.113])"
1,"dict_keys(['صغر', 'صغر وسط', 'تحد دول', 'تحد', 'تحد دول تصل', 'رقم', 'دول تصل', 'تصل', 'وسط', 'دول'])","dict_values([0.298, 0.266, 0.251, 0.202, 0.179, 0.177, 0.175, 0.173, 0.152, 0.126])"
2,"dict_keys(['لند', 'رعو', 'رعو صحح', 'شقو', 'صحح', 'قطع رعو', 'صح', 'قدم رعو', 'قطع رعو صحح', 'رعو صح'])","dict_values([0.364, 0.333, 0.286, 0.238, 0.235, 0.218, 0.182, 0.151, 0.146, 0.146])"
3,"dict_keys(['دفع', 'شرر الان دفع', 'شرر الان', 'بيع جزء', 'الان دفع', 'توب', 'لغو', 'شرر', 'بيع', 'عرب'])","dict_values([0.334, 0.254, 0.254, 0.239, 0.239, 0.206, 0.164, 0.163, 0.15, 0.136])"
4,"dict_keys(['رود عمل', 'رود', 'سبع', 'كنلج', 'زود رصص', 'رود عمل مجل', 'حضن عمل جمع', 'بسن', 'عمل جمع مرك', 'بدء'])","dict_values([0.16, 0.151, 0.143, 0.133, 0.13, 0.127, 0.127, 0.127, 0.124, 0.119])"
5,"dict_keys(['للبرنمج', 'حضو', 'طبق هتف حمل', 'تمم حضو', 'طبق هتف', 'ضمم', 'هتف حمل', 'قدم', 'شرك نشء', 'نشء خصص مجل'])","dict_values([0.251, 0.198, 0.152, 0.141, 0.131, 0.126, 0.11, 0.102, 0.099, 0.092])"
6,"dict_keys(['بتكر فوح', 'فوح', 'سرع بتكر', 'بتكر', 'سرع بتكر فوح', 'بتكر فتح', 'سرع', 'درس', 'سرع بتكر فتح', 'فوح جمع'])","dict_values([0.444, 0.382, 0.338, 0.268, 0.203, 0.19, 0.188, 0.142, 0.135, 0.101])"
7,"dict_keys(['حكم لءلكترن', 'حكم', 'حكم رقم', 'لءلكترن', 'رقم', 'درس', 'دول', 'نمم حكم', 'رقم قدم', 'حدد حكم'])","dict_values([0.406, 0.313, 0.234, 0.232, 0.219, 0.146, 0.13, 0.125, 0.125, 0.125])"
8,"dict_keys(['رود', 'نتد', 'سند', 'نتد دول رود', 'نتد دول', 'دول رود عمل', 'دول رود', 'رود عمل', 'شبب', 'سجل الان ربط'])","dict_values([0.294, 0.261, 0.249, 0.224, 0.224, 0.224, 0.224, 0.196, 0.146, 0.105])"
9,"dict_keys(['سبن', 'كنلج علم تصل', 'طور كنلج صنع', 'ركز طور كنلج', 'علم تصل', 'كنلج صنع', 'ركز طور', 'كنلج علم', 'مصر سبن', 'شرك سبن'])","dict_values([0.478, 0.191, 0.191, 0.191, 0.186, 0.179, 0.179, 0.173, 0.159, 0.159])"
