,kaywords,weight
0,"dict_keys(['sme', 'itu', 'digit', 'viet nam', 'viet', 'nam', 'sme award', 'noi', 'ha noi', 'ha'])","dict_values([0.406, 0.276, 0.212, 0.179, 0.179, 0.179, 0.15, 0.141, 0.141, 0.141])"
1,"dict_keys(['clinido', 'healthcar', 'healthcar sector', 'mina shawki', 'acquir healthcar', 'shawki', 'healthcar provid', 'healthtech', 'servic', 'patient'])","dict_values([0.567, 0.362, 0.218, 0.162, 0.162, 0.152, 0.152, 0.14, 0.134, 0.106])"
2,"dict_keys(['tabbi', 'pay', 'pay later', 'buy pay later', 'buy pay', 'later', 'buy', 'arab', 'ventur', 'arbor ventur'])","dict_values([0.465, 0.285, 0.266, 0.199, 0.199, 0.198, 0.188, 0.153, 0.135, 0.133])"
3,"dict_keys(['startup launchpad', 'launchpad', 'startup launchpad program', 'launchpad program', 'startup', 'program', 'entrepreneur', 'week', 'ventur lab', 'babson'])","dict_values([0.375, 0.273, 0.187, 0.187, 0.165, 0.163, 0.146, 0.133, 0.122, 0.117])"
4,"dict_keys(['th round', 'mobil app', 'need', 'incub', 'welcom', 'startup', 'founder', 'transport servic', 'startup th round', 'startup need'])","dict_values([0.178, 0.147, 0.139, 0.139, 0.139, 0.138, 0.133, 0.108, 0.108, 0.108])"
5,"dict_keys(['oia', 'open innov', 'project', 'studi', 'open', 'innov', 'pool', 'find', 'oia studi', 'market open innov'])","dict_values([0.756, 0.273, 0.162, 0.148, 0.146, 0.105, 0.094, 0.09, 0.087, 0.087])"
6,"dict_keys(['govern', 'survey', 'digit govern', 'digit', 'govern survey', 'unit nation', 'unit', 'countri', 'nation', 'rank'])","dict_values([0.423, 0.268, 0.25, 0.219, 0.2, 0.198, 0.186, 0.185, 0.145, 0.135])"
7,"dict_keys(['spanish', 'cdti', 'ict', 'consortium', 'propos', 'elig', 'applic', 'egyptian spanish', 'co applic', 'document'])","dict_values([0.437, 0.273, 0.197, 0.168, 0.168, 0.165, 0.161, 0.156, 0.156, 0.148])"
8,"dict_keys(['wuilt', 'websit', 'arab', 'flat lab', 'flat', 'flat lab cairo', 'lab cairo', 'creat', 'saudi', 'rostom'])","dict_values([0.73, 0.142, 0.126, 0.118, 0.115, 0.111, 0.108, 0.106, 0.105, 0.091])"
9,"dict_keys(['hackathon', 'covid', 'arab', 'post covid', 'individu', 'world', 'arab world', 'post', 'individu team', 'chang maker'])","dict_values([0.304, 0.253, 0.216, 0.196, 0.166, 0.163, 0.159, 0.149, 0.131, 0.127])"
10,"dict_keys(['summit', 'without border', 'startup without border', 'startup without', 'border', 'nyenrod', 'migrant', 'startup', 'without', 'tour'])","dict_values([0.257, 0.213, 0.213, 0.213, 0.184, 0.17, 0.17, 0.164, 0.15, 0.129])"
11,"dict_keys(['brightski', 'autonom', 'vehicl', 'drive', 'brightdriv', 'autonom drive', 'engin', 'automot', 'capabl', 'detect'])","dict_values([0.355, 0.346, 0.308, 0.222, 0.178, 0.178, 0.158, 0.153, 0.148, 0.144])"
12,"dict_keys(['ebtak', 'award', 'innov', 'last', 'implement', 'visit', 'decemb', 'applic', 'winner', 'present'])","dict_values([0.516, 0.264, 0.166, 0.162, 0.148, 0.142, 0.136, 0.123, 0.122, 0.117])"
13,"dict_keys(['drapp', 'techn summit', 'techn', 'doctor', 'rasha', 'patient', 'summit', 'egypt', 'techn summit alexandria', 'summit alexandria'])","dict_values([0.616, 0.229, 0.218, 0.177, 0.166, 0.161, 0.155, 0.116, 0.116, 0.116])"
14,"dict_keys(['amjaad', 'compani', 'iomet', 'energi manag', 'mall', 'vision', 'compound', 'bill', 'meter', 'energi'])","dict_values([0.538, 0.192, 0.147, 0.147, 0.14, 0.13, 0.13, 0.127, 0.124, 0.121])"
